id,name,brewery,category,style,description,abv,ibu
8eaf9fd5-8b6a-4b93-ae95-200bc77145ff,I Love NV,Bad Beat Brewing,Lager,Lager - Amber,"Nevada (Ne-va-duh…not Ne-vah-duh) is a special place and only special beer will do it justice! We absolutely were not going to brew a macro industrial lager knockoff and then expect you to be ok with that. We are a craft brewery. We take that seriously. We love Nevada, and we take that seriously too! Nevada is incredibly diverse… in lifestyle, people, weather, and overall culture. That makes crafting a beer to embody it quite difficult. However, at Bad Beat, we do not shy away from a challenge! Thus, we proudly present to you this gorgeous Amber lager. It’s a little hoppy, a little malty, a lot crisp, and a lot more crushable! Exquisitely balanced with biscuit and caramelized sugar malt flavors against floral and citrus hops. Easy, flavorful, and elegantly nuanced. We love Nevada!",5.1,N/A
6983a80e-dfa8-4d40-89e5-836229963da1,Maduro Brown Ale,Cigar City Brewing,Brown Ale,Brown Ale - English,"Among the darkest colored and most complex cigars made in Tampa’s Ybor City is the maduro, made with an overripe wrapper and exhibiting chocolaty and earthy flavors. We draw inspiration from these sophisticated cigars and from Tampa’s cigar-making history with Maduro Brown Ale, a Northern English Brown Ale brewed with flaked oats. Full in body and silky on the palate, Maduro Brown Ale’s chocolate and espresso notes are rounded out by toffee-like qualities and a light, woody hop presence. Enjoy Maduro Brown Ale with chicharrones, ropa vieja, or a fine hand-rolled cigar.",5.5,25
9b62a3c0-d9d8-4717-b610-e35a05b6f5ab,Polygamy Nitro Porter,Wasatch Brewery,Porter,Porter - American,She's on Nitro! Meet the sister-wife of our classic brew. This nitrogenated version is as chocolatey and easy-drinkin' as the original but even softer and creamier. It's ok to love them both.,6.0,30
35ae8bff-7408-4407-9e08-8a8424277bc8,¡Viva La Beaver!,Belching Beaver Brewery,Stout,Stout - Milk,"Viva La Beaver is loaded with notes of creamy peanut butter, cinnamon and coffee. This decadent milk stout is the perfect dessert beer to finish off your meal, and is our highest rated beer, receiving numerous Gold and Silver medals. Sink your teeth into this liquid chocolate treat.",7.5,28
7a04fede-83cc-456a-a919-dddf2c08ab7c,Tank 7,Boulevard Brewing Company,Farmhouse Ale,Farmhouse Ale - Saison,"When our brewers were experimenting with variations on a traditional Belgian-style farmhouse ale, the perfect combination of elements came together in fermenter number seven. You could call it fate, but they called it Tank 7, and so it is. Beginning with a big surge of fruity aromatics and grapefruit-hoppy notes, the flavor of this complex, straw-colored ale tapers off to a peppery, dry finish. With its balance, carbonation, and complex flavor profile, Tank 7 is one of the ultimate food-pairing beers in existence.",8.5,38
b3c5dc40-fdde-4b2d-a54d-1af104dd6de5,Oktoberfestbier,Bad Beat Brewing,Seasonal,Lager - Märzen,Oktoberfestbier is an extremely crushable Marzen style beer brewed with a medley of toasted malts! It goes down super smooth with a crisp finish.,5.6,N/A
9c9ac166-3f89-496d-b31f-fd305d2eaebd,Black O' Lantern Pumpkin Stout,Wasatch Brewery,Seasonal,Pumpkin Beer,"What kind of madman would cross an imperial stout with a pumpkin ale? Our brewers, as it turns out. This rich, chocolatey frankenbrew is dry-spiced and scary good. Boo.",6.7,31
b80ec53c-1efc-48a4-9430-5eb0c77a0964,Plum Fairy (Liquidious Meniscus),The Mad Fermentist,Sour,Sour - Plum,"Kettle Sour Weisse made with Barke Pilz, White Wheat and Flaked Wheat malts. Hopped with Tettnanger and sourced using Lactobacillus Plantarum. Fruited with Plum Puree.",5.8,19
40a827e4-dc13-4202-8b5e-b92bdb7e6b20,Arnold Punker,Lovelady Brewing Company,Sour,Sour - Fruited,Arnold Punker Lipton Tea and Meyer Lemon sour! Tea upfront with a lemon tartness and a hint of sweet on the finish.,6.2,N/A
ddf2d1dc-1310-4df9-84e1-9c735320fba6,Ace Pineapple Cider,Ace Cider,Cider,Cider - Other Fruit,"Inspired by the House Family’s annual visit to the beautiful Hawaiian Islands our Pineapple cider is an ideal drink for tropical hot and humid climates. Our signature drink the Hawaii 5-0 is a mix of Ace Pineapple cider, coconut rum, ice and a garnish of fresh pineapple. This original cider is perfect for a backyard BBQ, or Bacon dishes. First pineapple cider developed in the world",5.0,N/A
6876296f-079e-4288-85b4-85e4c1459224,Ace Apple Cider,Ace Cider,Cider,Cider - Dry,"ACE Apple was first produced June of 1994. ACE Apple has an apple nose and a clean finish. This cider pairs well with all pork dishes, and seafood as it is a refreshing alternative to the high alcohol of wine and heaviness of a beer. Made with 100% all natural apples",5.0,N/A
63edc3f2-b584-4396-8f5c-1ccf687e8781,Silver State Blonde,CraftHaus Brewery,Blonde Ale,Blond Ale - American,Silver State is a name that reflects Nevada’s pioneering spirit and one that we have and forever will wear proudly. Round notes of caramel wash over your pallet and finish clean.,4.8,20
a9ebc362-6d7a-451e-9a0e-851a08509420,Evocation,CraftHaus Brewery,Farmhouse Ale,Farmhouse Ale - Saison,Bright effervescent carbonation brings out the citrus and pepper notes.,6.4,35
27fcf837-6925-4dd8-b539-240344fdb24b,Zitrone,CraftHaus Brewery,Sour,Sour - Gose,"Gold Medal Winner ""Best of Craft Beer Awards"" Effervescent and bright lemon character that finishes with a slight salinity. Traditional style German sour beer that uses 50% malted wheat. Classic toasted coriander and lemon peel for added dimension.",4.0,10
aba2c8e3-6d8b-4f13-b6e7-7f21acf4c6f2,Razzle All Day,CraftHaus Brewery,Sour,Sour - Fruited,"Brewed in the spirit of camaraderie with Great Basin Brewing, this collaboration beer unifies Nevada's craft community. Tart, fresh raspberries bursting with brightness are then mellowed from the addition of smooth lactose. Cheers to Nevada beers!“",8.1,6
7fdabf35-c35f-4e8f-9515-b4c017c93eb7,Resinate IPA,CraftHaus Brewery,IPA,IPA - American,"We generously dry-hopped our IPA with classic combination of Cascade, Centennial and Chinook hops. Pine and grapefruit characters resinate from within.",6.5,58
8bccac2a-2f85-4cf1-b203-1b05281b6041,Dry Heat,CraftHaus Brewery,IPA,IPA - New England,"If you're a local... you know. This juicy, sexy, hazy IPA is double dry hopped with with Citra, Mosaic and El Dorado hops for an excessive hop warning of tropical and citrus aromas.",6.6,N/A
97014c79-dea2-48b0-af4d-e040efe71838,Cuckoo,CraftHaus Brewery,Lager,Lager - Munich Dunkel,"Dunkel, meaning dark in German, pours a deep garnet and topped by a white snow cap. First sip is full of toasted bread from 100% German malts. Then, a clean finish from a lager yeast sourced at one of the oldest breweries in Prague.",5.4,23
9a291084-9fe7-489c-854b-db24b4f947d1,Rock the Haus 6th Anniversary BA Basil Hayden,CraftHaus Brewery,Strong Ale,Strong Ale - American,"Presented to our community in celebration of six triumphant years of quality-driven beers. Sweet aromas of hops, honey and straw along with and a slight cinnamon to peak your interests with this one time only specialty beer. Strong characters of American hops bounce off of oak, molasses and rye spice play off one another with this substantial and satisfying barrel aged beauty.",12.0,N/A
401d7633-2bcf-4e41-9a34-f24a434a4a20,Czech Plz,CraftHaus Brewery,Pilsner,Pilsner - Czech,"Spicy hop aromas activate the and a slight golden haze fills your glass with this snappy and quenching unfiltered Czech pilsner. The beer keeps flowing like Kohl's Fountain until you utter the words, Czech Plz.",5.0,40
d590706d-466d-48b4-8cb2-e04a942e6479,Michelada,CraftHaus Brewery,Blonde Ale,Blond Ale - American,"Tangy with lime juice and Clamato, Worcestershire for a savory bump and Tapitio for spicy kick. Rimmed with that lip smacking Tajin. Pairs amazing with Elote snacking nuts! Use Silver State Blonde or live it up with Zitrone, Sour. Go big time and order it ""Fully Loaded"" with a decadent snack on a stick! Weekly Favor: Tom Yum Miche",4.8,N/A
536aca9c-d293-49ea-bc85-353c905c1504,All the Plumcots,CraftHaus Brewery,Sour,Sour - Fruited,"Like a bite into a juicy stone fruit, this tart ale will leave you confident you have enjoyed All The Plumcots.",4.5,20
e9c828d5-e79c-4362-a2cc-eb179a73679e,Mangonada,CraftHaus Brewery,Sour,Sour - Gose,"Lip smacking, Haus made Mangonada made with Evocation. Mango nectar and tangy Chamoy with a rim of Tajin for a kick. Top it off with a tamarind chili straw. Pair it with Elote warm nuts.",4.0,18
3c79ae60-f52b-45eb-b5d1-fdc8820f216f,Hop Vegas,CraftHaus Brewery,IPA,IPA - American,"Complex layers of hops from Cascade, Centennial, Columbus and Mosaic which bring ripe citrus up front, followed by pine and then a slight tropical finish. A snappy and dry malt body combined with bold hops come to crush it with this West Coast IPA because no one hops it like Hop Vegas!",7.0,78
69facdfa-5b22-4936-9cf4-0fe38993c8f0,Giggle Juice,CraftHaus Brewery,IPA,IPA - Double,"We can hear you giggling right now with glee! Giggle Juice hits you like an Unflitered, Double IPA should with juicy citrus and tropical fruit notes. We gave our DIPA heavy doses of Citra, Mosaic and CTZ hops.",10.2,101
3c2d0021-1e75-431d-84fd-511a2ba64746,Belgard,CraftHaus Brewery,Stout,Stout - Coffee,A luscious dark chocolate malt backbone married with locally roasted cold brew coffee from Vesta coffee Roasters.,5.2,30
2a93024c-1a69-4a5e-a5ea-bbeb6968baa7,HEXX Chocolate Tanzanian Cream Ale,HUDL Brewing Company,Cream Ale,Cream Ale,"In Collaboration with the HEXX Chocolate Company, we have been able to create something very special. A crisp, clean and refreshing Cream Ale that smells of wonderful HEXX 47% Milk Chocolate sourced from the village of Mbingu, Near Ifakara, Tanzania. Then, your sense of taste is melted with an amazing 70% Dark Chocolate, from the same Tanzania Cacoa Bean.",6.0,5
76102fdb-aa82-45f5-b12c-8ef500df7190,Vanilla Oak Barrel Aged On Chocolate,HUDL Brewing Company,Cream Ale,Cream Ale,"A crisp, clean and refreshing Cream Ale that was aged in whiskey barrels. Then we added a wonderful HEXX 47% Milk Chocolate and 70% Dark Chocolate, from the same Tanzania Cacoa Bean. Enjoy.",6.5,11
4f0df79b-80be-43f5-bda2-bbe789b472d6,Arts District IPA,HUDL Brewing Company,IPA,IPA - American,We start you with a sweet Carmel nose. Clean and crisp with a creative range of hop character to shine through.,7.2,48
2dbcbf61-8469-4de6-afb1-0a14c6958de3,WATERMELON SOUR,HUDL Brewing Company,Sour,Sour - Fruited,"Coming in at 4.7% and 3.0PH...SIMPLY REFRESHING The watermelon is subtle keeping this hand crafted sour beer fresh, crisp and clean. enjoy",4.7,5
0af4aca0-91f2-4da5-98b7-ded2e918cdab,Orange/Pomegranate Sour,HUDL Brewing Company,Sour,Sour - Fruited,Weighing in at 4.7% and 3.0PH...The Orange comes thru with that hint of Pomegranate at the fini,4.7,5
5d0d1ff8-49f5-4014-aeb5-341ebfb75214,Anodized Amber Ale Aged On Oak,HUDL Brewing Company,Red Ale,Red Ale - American,"This well crafted American Amber Ale, showcases a complex grain bill, built around the highest quality crystal malts. Aged on Oak",5.8,35
17aac130-a63b-424d-9b62-a3c21571e3fe,JUST DO WIT,HUDL Brewing Company,Wheat,Witbier,"JUST DO WIT is a traditional Belgian Witbeir Ale, brewed by just a few of the many amazing women in our industry. We are proud to be a small part of celabrating women in the craft brewing world. 50/50 blend of unmalted Wheat and 2row and the bold Jade Pacific Hop will stimulate your soul. A spectacularly refreshing and crisp ale with hints of citrus, coriander and black pepper. The perfect way to close out the summer.",4.8,22
1e2076b2-4c7f-4677-9351-0209aa2bb7a0,SHAGGY ASSASSIN - ROTATIONAL IPA HAZY,HUDL Brewing Company,IPA,IPA - American,"We veered off course a little with our first rotational release of the Shaggy Assassin. We started with a typical New England IPA grain build...Using Citra, Mosaic, Mandarina Bavaria and Zythos hops. We then went full on west coast with the Cal Ale yeast. The result is a pretty cool kinda hazy IPA....",6.8,44
454318b2-a369-4e69-ac8c-4b7c0d14ef65,Shaggy Assassin Guava IPA,HUDL Brewing Company,IPA,IPA - American,"We would like to introduce our Shaggy Assassin ROTATIONAL IPA SERIES. We will release one beer every 3 months in cans and draft. 1st is our Unfiltered Guava IPA, the nose is a little woody with hints of grapfriut, the Munich Malt creates the perfect platform for the subtleness of the Guava",5.7,41
ea4973be-6688-4aaa-878d-4d4c2948164f,High Hatter Hefe On Pineapple,HUDL Brewing Company,Wheat,Hefeweizen,"A traditional German Hefeweizen, but instead you are transported to the islands of Hawaii. We dropped 10 lbs/barrel of pineapple puree, resulting in a wonderful nose with a perfect amount of sweetness from the pineapple.",5.5,12
d63c735c-61e3-4134-b220-323ef3e0dbc6,SCORCHED MEADOWS - HAZY,HUDL Brewing Company,IPA,IPA - New England,"A Las Vegas Style Hazy IPA with a floral and citrus nose with a solid backbone that finishes crisp and a little drier (Vegas Style). Las Vegas translates as ""The Meadows""",6.3,44
2b460e21-1a6e-4232-8bb4-8af93c5cfeed,115° Imperial Stout,HUDL Brewing Company,Stout,Stout - Imperial,"Beautiful dark chocolate and light roasted will be front and center. Then the complexity of the grain bill will come thru and completely balance the chocolate and roast, leaving you questioning the ABV due to the perfect balance. OG 1.114 FG 1.020",12.3,43
d3835177-7e5f-4223-adad-cedb2d196005,NAC NAC - Kumquat,HUDL Brewing Company,IPA,IPA - American,"We put NAC NAC on Kumquats...The nose is a little more bright/citris and the contrast juice and the rhine, allow for a softer finish. Enjoy. A top of the podium West Coast IPA. Citrus, Melon and Pine dominate the nose. Clean and crisp with the supporting malt building a creative range of hop character to shine through. The NAC NAC is a time travel back to the 1990's when San Diego created the west coast IPA and Jeremy McGrath was dominated Supercross Racing. He changed the sport forever and San Diego changed beer forever. Thank You!",7.2,N/A
16289017-205b-428d-9aef-24885aa66a7b,The Patio,HUDL Brewing Company,Fruit,Shandy,Tangerine is what you get in the nose and the taste. 100% crushable in the heat of las Vegas. So come on down the patio and enjoy this collaboration with Nevada Brew Works,4.7,10
ae87aef2-78cf-407f-8199-f3338dd0eab7,The Mosquito,HUDL Brewing Company,Lager,Lager - American,"This lager is smooth, delicate, crisp and thirst quenching. It is brewed with the highest quality malts and perfect amount of flaked maize, along with a true lager yeast from Mexico city. We respectfully celebrate the Mexican culture and heritage.",4.6,20
47944c92-07e6-469b-baec-92a927b10aa5,Mosquito Bite,HUDL Brewing Company,Lager,Lager - American,"We took our perfectly brewed Mexican lager, and asked ourselves…what could put this beer over the top? Serrano’s! We took fresh Serrano Peppers and put them in a brick oven at 600°F and scorched them thru and thru. We then put these gems in our aging tank and let time take its course. The aroma is bursting of fresh roasted Serrano Peppers, and once you take a sip, the wonderful flavor of the Serrano balances well with this crisp and refreshing lager.",4.6,10
5d49be70-3a14-4122-be4c-cc75e41c0926,VANILLA OAK,HUDL Brewing Company,Cream Ale,Cream Ale,"Not your normal cream ale, vanilla and the perfect amount of oak character will quench your thirst.",6.0,11
9c50fdfa-dc29-45b4-9750-b0b56d1b2887,Vanilla Oak On NITRO,HUDL Brewing Company,Cream Ale,Cream Ale,"Not your normal cream ale, vanilla and the perfect amount of oak character will quench your thirst.",6.0,11
5973a4dc-1a22-4fce-8762-c96bda84cdcd,WRATHFUL ROSE,HUDL Brewing Company,Fruit,Fruit,30 lbs of Hibiscus at whirlpool gives this unique ale its color. We add honey and Red Berries to complete the flavor profile.,5.3,N/A
5cfa5bcd-3a59-406e-b029-22958e13cba9,Super Mini,HUDL Brewing Company,Lager,Lager - American,"Crisp and Clean and light bodied, Single Hooped with Mosaic, gives it a twist that is refreshing and slightly off center.",4.2,14
3493015c-9850-4dba-99e4-0abcdd744836,SALTY SWABBER,HUDL Brewing Company,IPA,IPA - Double,The Salty Swabber will punch you in the nose with amazing American Hops. There is the perfect amount of body and backbone to balance it quite nicely. leaving you with a slightly sweet warm finish.,9.4,79
5b838cde-cd14-47a1-81b9-8eb8d99a0adc,Big Foozy,HUDL Brewing Company,IPA,IPA - Triple,"Every true IPA lovers dream! We brew this west coast style version with nothing but love! All American grains and hops were used to showcase the best of what we do in a 13.1% abv and 120 IBUs beer. Overloading your sense of smell with Apricot, Dates and ripe Plums. Then the long boil Caramelize the beer to bring out the complexity of our grain bill and a sweet character of brown sugar and honey. Complimenting all our hop additions in boil and whirlpool…then we double dry hopped it. Float like a butterfly and sting like a bee. Enjoy!",13.1,120
526bdb54-082e-41db-ba83-fd5284e46295,GP,HUDL Brewing Company,Barleywine,Barleywine - American,"An American style Barley Wine, showcases one of the best dual purpose hops...Cashmere...Molasses, stone fruit and dark raisins leads you into tastes of biscuit and toffee. The 120 minute boil creates the absolute perfect amount of Caramelization which encapsulates the entire experience, both the mouth feel and color.",10.0,82
7e940d6e-fff8-4cbd-abc8-2f87168f3929,Weird-as-Funk,HUDL Brewing Company,Brett,Brett - American,A Brett-Pedio blend from our Wine Barrel Project. This beer is inspired to compliment the light and subtle characteristics of brettanomyces and pediococcus. The bacteria were added and had a secondary fermentation for 2 months in a medium oak wine barrel. This is a one of a kind treat.,5.6,7
bdc3bbef-e7f2-474a-9a87-eac7299e3d9c,Ruby Soho,Mojave Brewing Company,Cider,Cider - Other Fruit,Grapefruit Cider,9.0,N/A
db93bf94-dad1-4e9c-98c8-b0cfe9bd15b4,38 Special,Big Dog's Brewing Company,Red Ale,Red Ale - Other,"A blend of our Gold Medal winning brews! Peace, Love, & Hoppiness Pale Ale and Red Hydrant Ale.",5.6,N/A
c75ab31c-6970-4368-8722-15eb0cebc088,44 Magnum,Big Dog's Brewing Company,Red Ale,Red Ale - Other,Dirty Dog/Red Hydrant Blend,6.4,N/A
3c4b4b19-fc3e-4d7e-bf3c-44e0a6f9ed9d,50 Caliber,Big Dog's Brewing Company,Brown Ale,Brown Ale - Other,Delicious blend of our Underbite IPA and Red Hydrant Brown Ale.,7.5,N/A
d63d87a8-8930-47fb-b2c5-00b49eefde2f,Black Lab Stout,Big Dog's Brewing Company,Stout,Stout - American,"Delicious and satisfying anytime of year! A rich, dark ale brewed with nine different malts along with roasted barley, with hints of coffee and cocoa.",5.9,N/A
2896ec9b-6ce0-4512-83c5-b1d02e5b3daf,Dirty Dog IPA,Big Dog's Brewing Company,IPA,IPA - American,"Dirty Dog IPA is a delicious west coast-style IPA, bursting with Northwest hop flavor and aroma. With just a hint of toasty malt in the finish, you’re sure to be reaching for another sip of this very tasty American IPA.",7.1,70
84c41be4-b1e3-4b38-9bc9-2074b32af283,Las Vegas Craft Lager,Big Dog's Brewing Company,Lager,Lager - Pale,"Las Vegas Craft Lager is a classic American-style lager. Lightly hopped, crisp, and clean; this beer is designed for a town that is always on the go.",5.0,N/A
394e9171-8e79-47e7-b7ae-d4f0d8789c04,Leglifter Light,Big Dog's Brewing Company,Lager,Lager - Light,"Light in color and mild in flavor, this beer is a refreshing alternative to American-style light lagers. A perfect introduction to handcrafted beers!",3.9,N/A
8fc7908f-2618-4041-8116-cccacbfaa4e5,"Peace, Love & Hoppiness",Big Dog's Brewing Company,Pale Ale,Pale Ale - American,"Peace, Love & Hoppiness Pale Ale is a golden pale ale with notes of tropical and stone fruit from the generous use of Mosaic and Amarillo hops. Now available year-round on draft and in the coolest 12 oz. cans around!",6.0,N/A
e03d8162-a691-440a-a7a5-60d9f43b2962,Red Hydrant Brown Ale,Big Dog's Brewing Company,Brown Ale,Brown Ale - English,"Our 2006 and 2010 World Beer Cup Gold Medal winner (English-style Brown). 2012 GABF Silver Medalist. A deep mahogany brew, rich with caramel malts and a hint of English hops with notes of toffee and toasted malt.",5.6,N/A
e58ddd3b-c52f-4f5c-9fdb-6b6041bd4746,Underbite IPA,Big Dog's Brewing Company,IPA,IPA - American,Hop dominant West Coast IPA! Is there malt in this beer? This a bitter beer! The Chinook hops are the superstar of this IPA; complimented by a fair amount of Amarillo and Citra. The beer has a very dry finish that makes you want to take another sip until the glass is empty.,8.7,115
ed864710-9a6d-4fde-adb1-59f10c48078c,A Dog Gose Woof,Big Dog's Brewing Company,Sour,Sour - Gose,Jameson Barrel Aged Leipzig Gose,5.5,N/A
333c1947-045b-4569-a180-97a423b247d3,Canis Minor,Big Dog's Brewing Company,IPA,IPA - American,"West Coast IPA brewed with plentiful amounts of Mosiac, Amarillo, Galaxy, and Nelson hops!",6.2,N/A
4c9323ef-0203-46c5-8118-b28e86928fff,Dog Gone Saison,Big Dog's Brewing Company,Farmhouse Ale,Farmhouse Ale - Saison,,6.2,28
e1f3f04a-2c8f-4f96-a9f5-a1fcb831bb4b,My Dog's Plums,Big Dog's Brewing Company,Belgian,Belgian Strong Dark Ale,"This Belgian Dark Strong was aged in whiskey barrels for 6 months, then blended with hundreds of pounds of plum puree.",8.2,N/A
1ac4ecd4-09de-4a52-8560-a90fdba061ac,Release the Hounds,Big Dog's Brewing Company,IPA,IPA - Double,,8.5,N/A
414eb6de-c76a-478a-b1db-7329019911e8,Sam-Rye,Big Dog's Brewing Company,IPA,IPA - American,,6.1,N/A
528be503-3013-4fcd-92d6-443f121bd36d,Stay Motley DoPPElbock,Big Dog's Brewing Company,Bock,Bock - Doppelbock,,8.8,N/A
66be3dc0-8d56-43a1-8871-9df892e86f97,Viener Dog,Big Dog's Brewing Company,Lager,Lager - Vienna,,5.5,N/A
848d9dc0-768e-4ce8-b5c4-6f78c1b12cde,Illuminator,Lovelady Brewing Company,Bock,Bock - Doppelbock,"Dark Golden strong lager with hints of rye, bread and caramel. Easy drinking!",9.0,45
2d9da3c5-72c0-4547-a004-e774a5e15401,The Emigrant,The Depot Craft Brewery Distillery,Sour,Sour - Other,White wheat sourced from Northern Nevada and premium Pilsner malt serve as the base for this easy drinking sour ale. California orange peel and ground coriander add a subtle complexity as the beer finishes with a slightly tart dryness.,4.2,12
63e3559f-e6ae-4c25-921f-b9386d9e40f6,Sunrise Mountain,Tenaya Creek Brewery,Wheat,Witbier,Blood Orange White Ale,6.7,N/A
079e55e7-348e-41b8-b0ef-28fe01491fba,Apple Soiree,Newtopia Cyder,Cider,Cider - Traditional,"Our apple Soirée is a party waiting to happen. Concocted with Fuji, Gala, Honey Crisp, Red Delicious and Granny Smith all fermented with champagne yeast to create a crisp, clean, off-dry cyder perfect for any moment to celebrate.",6.5,N/A
46943d8b-4e91-4c4b-ad36-967ddd0c590c,Hoptical Telescope,Beachwood Brewing,IPA,IPA - Double,"A cosmic array of hops are acutely focused in this West Coast-Style Double India Pale Ale. Cheers to 10 years! Malts: American 2-row, Idaho Pilsner Hops: Mosaic, Strata, Idaho 7, Sultana, Ekuanot",10.0,100
2ed3a7d8-86c2-4d35-b240-56e430a83ecb,Our Share IPA,Wasatch Brewery,IPA,IPA - Session,"This well-balanced, sessionable IPA brings notes of pine and berry, with a smooth malt backbone that will have you sharing this beer all year long.",5.0,35
f5265235-c00d-440c-ac71-99d3d5134369,Vertical Envelopment,Newtopia Cyder,Cider,Mead - Cyser,"Session Cyser with Marmeleiro Honey, Orange, Lime and Hibiscus.",7.0,N/A
66ff83e3-bfe3-4124-b1c7-352ee0558e84,Hipster Latte,Wild Barrel Brewing,Stout,Stout - Milk,Have your morning coffee with us! Featuring Hipster Latte Coffee Milk Stout on nitro 6.6% w/ Mostra Coffee proprietary Brazilian bean blend. Cheers!,6.2,36
